key_0,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen,Delay,Predicted_date
1,U001,200881076,ALBERT corporation,,2020,1930849818,01-05-2020,20200502,20200501,16-05-2020,USD,RV,1,76693.51,20200501,NAA8,1930849818,1,1.010989011,17-05-2020
7,U001,200769623,WAL-MAR corporation,,2020,1930647505,15-03-2020,20200313,20200315,30-03-2020,USD,RV,1,14427.62,20200315,NAH4,1930647505,1,1.010989011,31-03-2020
8,CA02,140104440,SO us,,2020,2960629686,22-04-2020,20200422,20200422,03-05-2020,CAD,RV,1,55370.56,20200423,CA10,2960629686,1,2.169835234,05-05-2020
11,U001,200769623,WAL-MAR associates,,2020,1930842469,01-05-2020,20200430,20200501,16-05-2020,USD,RV,1,31045.62,20200501,NAH4,1930842469,1,1.010989011,17-05-2020
16,U001,100026809,PRES corporation,,2020,1930916095,19-05-2020,20200519,20200519,29-05-2020,USD,RV,1,402.5,20200519,NA10,1930916095,1,1.010989011,30-05-2020
18,U001,200744019,TARG ,,2020,1930747208,04-04-2020,20200404,20200404,19-04-2020,USD,RV,1,11076.89,20200404,NAA8,1930747208,1,1.010989011,20-04-2020
20,U001,200387240,O foundation,,2020,1930843929,04-05-2020,20200504,20200504,14-05-2020,USD,RV,1,3060.35,20200504,NA10,1930843929,1,1.010989011,15-05-2020
21,U001,200769623,WAL-MAR associates,,2020,1930778254,11-04-2020,20200411,20200411,26-04-2020,USD,RV,1,7160.94,20200411,NAH4,1930778254,1,1.010989011,27-04-2020
27,U001,200434439,BAUGH SU in,,2020,1930755096,06-04-2020,20200406,20200406,21-04-2020,USD,RV,1,58283.23,20200406,NAA8,1930755096,1,1.010989011,22-04-2020
33,U001,200769623,WAL-MAR llc,,2020,1930592698,04-03-2020,20200303,20200304,19-03-2020,USD,RV,1,32436.89,20200304,NAH4,1930592698,1,1.010989011,20-03-2020
41,U001,200776463,KROGE llc,,2020,1930725441,31-03-2020,20200331,20200331,15-04-2020,USD,RV,1,26803.83,20200331,NAA8,1930725441,1,1.010989011,16-04-2020
43,U001,200769623,WAL-MAR ,,2020,1930732071,02-04-2020,20200402,20200402,17-04-2020,USD,RV,1,52273.75,20200402,NAH4,1930732071,1,1.010989011,18-04-2020
45,U001,200780383,MEIJ systems,,2020,1930666241,19-03-2020,20200318,20200319,03-04-2020,USD,RV,1,138236.86,20200319,NAA8,1930666241,1,1.010989011,04-04-2020
47,U013,140103480,PRIC ,,2020,1991840813,13-03-2020,20200311,20200313,27-04-2020,USD,RV,1,30523.94,20200313,NAVF,1991840813,1,-1.848095849,25-04-2020
56,CA02,140104429,COSTCO co,,2020,2960628142,15-04-2020,20200415,20200415,04-05-2020,CAD,RV,1,72031.73,20200424,CA10,2960628142,1,2.169835234,06-05-2020
58,U001,200580232,INTERR corp,,2020,1930713211,27-03-2020,20200327,20200327,06-04-2020,USD,RV,1,25961.25,20200327,NA10,1930713211,1,1.010989011,07-04-2020
